categroy_id,categroy_name,parent_id
08aa178d665b491ab77bf1f6971fea85,"Portable Toilets & Urination Devices",bb0e86da3e674d039018929fd6b83fed
08b0fef4f9f843429125a30a9b1a6ebb,"Audio Converters",f0f607f03da74b1ba9caaf3dd56ce8a1
08b18fd7613b43778bee6c9dbb33441c,"Sauna Heaters",975d0ecef5f3416aa84f7558b29f67d6
08b1efbfbb6341c89e74fe333ed12a75,Breadboards,3b0d87407fa94689bc046f603979bd36
08c2c2504b7c48318a2be6d090f8c479,"Live Animals",f766cae95bff4f548dfd9e47040cae2a
08d1bea55df548049afe57091e70e373,"Motor Vehicle Equalizers & Crossovers",becf78e0244048f1b0cbf2671397d52c
08db115d8e594a5dbbb265bc44be0efc,"Flash Diffusers",336db315cede44ca94505bd770df30df
08dc436ee9f2478690facbd55f3a2f8b,"Paint Binders",b78da01c4e6a4a71ac9efb1e8214a441
08e3af286d7d4f059eaa3f593de6ebcd,"Ink Pads",a1ef69885b0e476392217773f7ef40d5
08e915fdd989489189bb21cdc9e62095,"Brass Knuckles",212320e64465474ca9589476eefc6d6f
08f637d446aa4b59bf4a2ecfb6efd627,"Ginger Root",0f26d7bf23b84df4979915a4ca7810da
0909fe9134ce4089aa91fb1f0b99f237,"Inversion Tables & Systems",d25cb482691e49e9ac076f1853bb480b
090fa536967a4ee7b95355d57604792f,"Cover Scents & Scent Attractants",98346d8570e84a0a822984a091497756
09130ce134f3479da56858f203919057,"LED Light Bulbs",51eff74bff1f480abee0ee00365ad170
0913ede48783481c98cf46f26725d71f,"Cereal Bars",a1a9baa539304ad8ba827629f53f3156
09241892c5a049ea9585ee41269b2abc,Furniture,NULL
092691a34f7d403d810350853f5d399a,"Intercom Accessories",52c88e52608349538a5d06dadcf2b694
093f7005e3b54233bb44da2a2ee0965e,"TV Replacement Lamps",8d6eb97198a941e983c1edb87795c59d
0947ce1407d84ffe973ecb0ce4279151,"Bicycle Bells & Horns",e75bd6cf27df40439abca4d2a97514c0
094b2a7ccba8449ca236ddb5928bf92c,Harps,9f7e859370e949a48898ba52415492c6
094f8dbb9bdc49a0872a08bde0b04f67,"Canes & Walking Sticks",961efeca1b044f28bebb56f859b35968
095cc5790739463f807834d2ba640665,"Musical Triangles",ec558a91fc4d43d3befb982bdc7d6155
095f358ba3c14cac8ddfca80ecc122c4,Wigs,1a64df482e4c4e42849f58b0972e5192
096edecb4ea54fa8ae509580230a4c8d,"Makeup Tools",85c3357b00a54dcf84ab034d785e502a
098a02ed42194b829ada387c695735cb,"Household Storage Drawers",a23e2f10145443abae5e797fdc95305d
09b2e4b25d374c9c94928bf834b3aa3b,"Watercraft Steering Cables",61fe508e4e6140a9b4f22c9ce9c5e161
09b8691e81b847adaac6a8a624768bef,"Stair Climber & Stepper Accessories",07945bd3d30043299e76269e383925f9
09d8659850b94851896f8d8f346bc5f5,"Lawn Mower Mulch Kits",1a217c2339864e5fb89327cb54a9ff84
09da0b543f574e45886675fc3cbee1a1,"Camera Batteries",f02fd715604e49d997a5a5fce90ec58f
09e2bd43bd5641979b255a7d877f731a,"Coaster Holders",1892f457d24c417899274e6bc22ba666
09ea430b10bf43b78f70abdd3ca30589,Construction,d10653cd475741179bb820509956b205
09ea88ad001d4edb969970a148b99dd4,"Dappen Dishes",675ab23e194c4ab2b7c6e530b7fa307f
09f7e6a6cf754905adafbc792fa134ab,"Poker Chip Carriers & Trays",32b71e41a20d438c8fedfcb19a1af5df
09f7f305cd47478b88640888b096db3b,"Kitchen & Dining Room Chairs",9451b838789742cd9baf8b5a0c77c69e
09fccc6044f84a059a7d7323592dc299,"Snowboard Bindings",84c3206a28bb4334ad240df4886efa1b
0a09815cdfa64f36bc5d9001b6016c35,"Cigar Cutters & Punches",c9eac3143e0c4484a9ab58bcf387b670
0a134c63352c4c5c9f34c48f1a7452e2,"Craft Cutting & Embossing Tools",f261d56bb89c4511ac00368200dc3e32
0a1698bc1e084b6983af66b313ae32ae,"Table Tops",d96a53f51cdb4b6784d823e410284663
0a1952197cbf421ab0980da849be5fb3,"Starter Pistols",ee3ace6bb25747deb4c62f1e7b1d829d
0a1faae644444b7c8de3607a8104e7c0,"Musical Instrument Amplifier Knobs",a2d3349876e24aa6aabbeb875383730c
0a294b211c164c63a8b7f192163ff68f,"Ammunition Cases & Holders",a4870a9b2ecc47448a5ad2716e698eef
0a351624ecef4cde80c732117269e40f,"Crib Conversion Kits",21262c6c0f004eba96b3c9ca802a9763
0a38ba6c94a2401cb53bf612ef24fa6c,"Throwing Darts",43f6957374b247aa9239857628c57c8c
0a3d40e643054cb6a0d635162cfc3076,"MP3 Players",45e1f90af225439f87d2db2f436edc1f
0a40040b4ace447e8098845bff79f9ad,"Sports & Energy Drinks",9bca676fa9284974b05be95ddce8788a
0a48862ab4ab4425ab7443e86e5991bc,"Baby Transport",1690c859de38412899d33fdc0f93e98f
0a4cb90b852945ceaeeedb5aada797ec,Cherimoyas,c5d300814cbd40e28fc44ea9d2b20290
0a4ef6e1ad4e47239bf1788fc93187ce,"Hockey Shoulder Pads & Chest Protectors",6bbb7dd8ca4a4f24852598c7852d0b63
0a565386bb614c938a71a8f12aba84d9,"Print Books",0b4b55b5d1ec47d38c47930823ca8f4d
0a5683c8138e4e26bb6e66486fcee8de,Bedding,3e21448e6b834a54b32f42a3ae3a8d98
0a58b229d4c24d629ee4dad2a4f2d665,"Band Saw Accessories",c496db7e4a2249109f00600c067b86af
0a5b239612204285b8873673e9feba5e,"Clay & Modeling Dough",334313b08bbe41e084bd10959a41d32e
0a5d7c9994514a2aa9849b7875feb519,"Dog Food",982f2927cc3f4fedb6ffb4941818124b
0a6cb3f18e234683beeae9ca2fca1a0c,"Pie & Pastry Fillings",4d6624ea9526439699204e79fb570ea8
0a9d9575fa8a412eaab51c43f95909f8,"Bathroom Furniture Sets",05853332706b4476994ddb5af6f2c545
0aacb2e38c504674ad75cbd4bf87a1c7,"Color Calibrators",8d9a8b89622340a396d36862183812f5
0abc18777f98481fb6f40fde612f93c4,"Bicycle Groupsets",3a818162806745f0b28854e06a8ddf4f
0ac3de7eb3574eeeac665f39d2ce5cf2,"Handheld Device Accessories",2a045451487548f48e9311ef407e10a5
0ac905e9c1af4155964cd60532c45fdb,"Door Closers",5458989ac81141e7aeb9c6658972882d
0aede6d0e1d84e76a534e624f873791a,"Event Tickets",9aeda052c8f04ceeb753f5d69abb9386
0b07173447dd4566b28f8f95de61e7e8,"Swim Belts",45f65be0fb8b41958b7e51858f11f8fd
0b1aae2740de4d27b418bfda29cd6402,"Scale Models",f4028ec402d94a03a68546b104051372
0b1e5fd684b94345bcf391ec58217411,"Mochi Makers",dee5b8311ce54603bdfbc666041ec6c0
0b1fb5af11994467a022cb35161d4751,"Martial Arts Weapons",ad88d04942894946b5f26be87a4f899d
0b316b1b54f64defaa5d09bfb24d2236,"Racquetball & Squash Gloves",9c254f4d4312428b97653bcc88ea1bfa
0b3aa4cded90405d8d5fb35283f13ce5,"Multifunction Outdoor Power Equipment Attachments",ee1d8bf242b141b4ad21b0995c19ab85
0b3c008b6e474d00b9ad12abf684236b,Reins,22fb517a634b495c9aee385964ea9391
0b4b55b5d1ec47d38c47930823ca8f4d,Books,8aa746c1606f42c2828f94c1aaf1a6a1
0b4b8e68323643abb09a818ccf638cb2,"Vehicle Jumper Cables",80bf03960f9a47a4a7fc038c825b1bcc
0b4ce0286f204d09b4016fd51cfc07e9,"Video Cameras",1c1c39092792444da6915556d4e1893d
0b56ad42427b4150b6ac44e446a15d10,"Passion Fruit",c5d300814cbd40e28fc44ea9d2b20290
0b686982dfa24756936b11600ebc8116,Interfacing,1115656a8c6c412e80703e51497dd952
0b6a185e565f47fa8fc1478fda6c7fb0,"Oboe Cases & Gigbags",ac55c9d77b3f419c920820ca6138ca10
